OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0000019,14-08-2024,CUST040211,Aditya Mehta,P00033,Puzzle 1000pc,Electronics,ReadMore,5,529.19,0,317.51,4.57,2968.03,Amazon Pay,Returned,Phoenix,AZ,United States,SELL01907
ORD0000063,21-07-2023,CUST006724,Simran Reddy,P00004,USB-C Charger,Toys & Games,HomeEase,3,71.26,0.1,23.09,11.28,226.77,Credit Card,Returned,Fort Worth,TX,United States,SELL00011
ORD0000065,23-08-2021,CUST000139,Aarav Verma,P00039,Graphic Tablet,Toys & Games,Zenith,5,417.28,0.15,88.67,9.65,1871.76,Amazon Pay,Returned,Los Angeles,CA,India,SELL01242
ORD0000098,20-07-2020,CUST033386,Ritika Reddy,P00036,Smart Light Bulb,Electronics,CoreTech,4,260.91,0,83.49,2.86,1129.99,UPI,Returned,San Francisco,CA,United States,SELL01544
ORD0000132,08-03-2023,CUST007708,Sunita Sharma,P00028,Jeans,Clothing,Zenith,3,496.12,0,74.42,5.91,1568.69,Net Banking,Returned,Charlotte,NC,Australia,SELL00248
ORD0000149,18-07-2022,CUST048304,Vihaan Kapoor,P00032,Board Game,Toys & Games,Apex,3,262.02,0.15,120.27,7.09,795.51,Credit Card,Returned,Chicago,IL,United States,SELL00433
ORD0000164,25-01-2024,CUST048496,Sahil Kumar,P00016,Air Fryer,Electronics,NexPro,3,465.66,0.1,62.86,0.89,1321.03,Amazon Pay,Returned,Dallas,TX,United States,SELL00141
ORD0000176,04-11-2022,CUST010967,Sahil Singh,P00004,USB-C Charger,Clothing,CoreTech,1,598.75,0.1,26.94,3.35,569.17,Credit Card,Returned,Denver,CO,United Kingdom,SELL00727
ORD0000183,12-01-2022,CUST015222,Karan Gupta,P00016,Air Fryer,Electronics,ReadMore,2,375.82,0.05,35.7,13.55,763.31,Amazon Pay,Returned,Houston,TX,Australia,SELL00166
ORD0000204,12-11-2021,CUST022812,Mohit Patel,P00041,Webcam Full HD,Toys & Games,UrbanStyle,3,461.7,0.05,65.79,13.58,1395.21,Credit Card,Returned,Fort Worth,TX,India,SELL01177
ORD0000291,21-06-2024,CUST006082,Sahil Joshi,P00048,Wireless Charger,Home & Kitchen,NexPro,3,432.19,0.05,98.54,1.14,1331.42,Net Banking,Returned,Columbus,OH,United States,SELL01802
ORD0000309,01-10-2023,CUST047601,Sunita Kapoor,P00049,Children's Book,Toys & Games,Apex,4,179.25,0.1,32.27,0.94,678.51,UPI,Returned,Houston,TX,United States,SELL01467
ORD0000370,02-07-2022,CUST045030,Sneha Mehta,P00034,Desk Organizer,Sports & Outdoors,ReadMore,4,575.93,0.15,97.91,14.12,2070.19,Cash on Delivery,Returned,Dallas,TX,United States,SELL01711
ORD0000376,09-10-2024,CUST000192,Sunita Kumar,P00049,Children's Book,Home & Kitchen,NexPro,4,100.2,0.2,38.48,12.41,371.53,Debit Card,Returned,San Diego,CA,United States,SELL01651
ORD0000383,24-07-2023,CUST012211,Pooja Gupta,P00012,Noise Cancelling Headphones,Clothing,NexPro,2,281.89,0,28.19,7.13,599.1,Cash on Delivery,Returned,Phoenix,AZ,India,SELL01115
ORD0000409,24-07-2023,CUST045230,Ritika Sharma,P00026,Sunglasses,Sports & Outdoors,FitLife,4,133.39,0,96.04,5.4,635,Cash on Delivery,Returned,San Jose,CA,United States,SELL00469
ORD0000444,19-09-2022,CUST005245,Simran Gupta,P00048,Wireless Charger,Toys & Games,CoreTech,4,197.15,0.05,134.85,3.07,887.09,Net Banking,Returned,San Jose,CA,United Kingdom,SELL01934
ORD0000482,11-02-2021,CUST022270,Aarav Kapoor,P00022,Water Bottle,Toys & Games,UrbanStyle,1,19.59,0.1,0.88,1.9,20.41,Credit Card,Returned,Jacksonville,FL,Canada,SELL01593
ORD0000524,20-09-2020,CUST033107,Anjali Kapoor,P00040,Microphone,Clothing,CoreTech,2,226.3,0,36.21,14.7,503.51,Amazon Pay,Returned,San Francisco,CA,United States,SELL00843
